Date,Interactions,Network,Rank,Title
10/22/18,"4,154",USA Network,1,WWE Monday Night RAW
10/25/18,"3,901",Telemundo,2,Latin American Music Awards
10/23/18,"1,256",USA Network,3,WWE SmackDown!
10/22/18,549,ABC,4,Dancing With the Stars
10/24/18,523,The CW,5,Riverdale
10/25/18,395,ABC,6,Grey's Anatomy
10/25/18,336,CBS,7,The Big Bang Theory
10/28/18,329,Univision,8,Nuestra Belleza Latina
10/28/18,323,AMC,9,The Walking Dead
10/24/18,300,FX,10,American Horror Story: Apocalypse
